shopping_share,dining_share,subscriptions_share,weekly_spike_ratio,repeat_merchant_ratio,anomaly_count,average_transaction,needs_attention
23.53,40.02,17.02,2.45,0.339,0,132.67,1
24.16,20.76,3.55,1.52,0.157,1,55.01,1
32.79,23.23,10.42,1.5,0.418,3,91.97,1
18.67,15.08,3.88,0.89,0.083,0,38.32,0
36.55,21.94,6.53,2.07,0.331,1,133.68,1
14.0,14.23,3.53,0.75,0.122,0,39.7,0
23.56,29.45,12.67,2.09,0.316,3,165.62,1
20.23,18.85,8.26,0.78,0.162,0,67.65,1
55.99,13.86,17.15,1.06,0.222,2,80.2,1
10.17,10.8,6.5,1.2,0.099,0,34.46,0
34.85,17.63,13.18,2.14,0.171,3,79.39,1
10.22,12.95,8.98,1.59,0.14,1,100.84,1
33.39,24.41,12.35,2.35,0.378,1,91.88,1
24.09,13.99,8.14,0.96,0.052,1,40.33,0
29.24,31.34,16.48,2.03,0.392,2,181.1,1
22.48,15.33,4.38,0.76,0.162,0,70.3,0
29.76,21.72,9.44,3.3,0.328,1,208.87,1
25.34,10.24,4.26,0.82,0.173,1,48.45,0
27.44,12.54,14.63,0.97,0.234,3,78.94,1
16.71,9.18,5.79,0.89,0.099,1,57.51,0
41.03,32.61,17.65,1.25,0.394,1,84.92,1
19.57,9.97,5.45,1.66,0.174,1,109.74,1
31.01,29.07,8.74,0.93,0.336,0,134.14,1
16.37,7.35,8.16,0.89,0.042,0,18.18,0
30.91,13.11,13.66,1.71,0.212,1,165.66,1
22.07,18.84,2.83,0.84,0.156,0,41.98,0
37.41,24.61,7.59,3.26,0.169,3,191.2,1
11.15,13.42,7.58,1.2,0.155,1,41.29,0
44.89,16.14,9.6,1.44,0.408,1,139.3,1
11.08,12.94,4.26,1.17,0.135,0,39.65,0
25.45,29.92,12.06,1.3,0.349,2,155.35,1
25.53,15.64,5.26,1.66,0.169,2,104.14,1
46.3,20.5,5.84,1.55,0.252,1,58.0,1
20.71,21.49,5.09,0.82,0.138,1,55.67,1
44.76,31.03,15.18,1.77,0.129,0,47.22,1
11.67,9.53,5.66,0.86,0.133,0,33.4,0
38.94,19.37,16.29,2.3,0.298,4,198.86,1
13.93,11.0,4.4,0.8,0.144,0,67.36,0
30.6,38.0,4.24,1.93,0.277,1,101.33,1
9.78,17.4,4.61,0.95,0.145,0,42.06,0
26.49,14.79,13.87,1.3,0.161,2,120.76,1
25.14,17.77,3.9,1.96,0.151,1,79.73,1
18.87,21.47,10.75,1.15,0.184,1,131.17,1
24.95,10.72,3.37,0.93,0.176,0,30.4,0
29.88,30.2,4.43,2.48,0.25,2,183.22,1
9.43,11.74,5.43,0.87,0.167,0,66.51,0
30.84,20.78,10.07,1.94,0.331,4,212.46,1
24.64,21.06,7.9,1.1,0.174,0,53.22,1
35.56,23.61,7.68,1.36,0.339,1,70.26,1
21.03,18.43,5.98,0.81,0.05,0,51.98,0
28.71,27.43,10.65,2.09,0.349,3,170.07,1
14.08,8.98,6.64,1.87,0.082,2,114.38,1
25.01,24.91,7.19,2.43,0.359,1,118.63,1
18.71,21.38,5.34,0.89,0.121,1,49.36,0
52.44,19.78,7.13,1.44,0.179,3,92.83,1
23.4,6.98,7.8,0.97,0.124,0,52.96,0
37.84,27.77,13.47,2.24,0.204,2,181.69,1
20.19,6.45,6.91,1.1,0.105,0,52.63,0
30.04,17.89,17.76,2.45,0.373,2,98.21,1
11.95,5.03,4.57,0.99,0.132,0,71.75,0
51.52,30.16,15.31,2.5,0.198,2,66.38,1
10.61,19.53,2.06,1.34,0.124,2,81.87,1
51.07,18.44,8.73,0.97,0.234,1,184.67,1
20.28,8.09,8.1,1.07,0.128,1,50.2,1
54.89,15.94,9.87,1.94,0.331,0,85.39,1
14.0,15.25,6.05,0.92,0.101,0,40.3,0
55.88,25.89,12.96,2.66,0.288,3,175.43,1
19.32,7.29,5.4,0.86,0.076,0,71.97,0
36.73,37.18,8.56,1.47,0.268,0,164.64,1
24.71,15.47,8.27,0.79,0.046,0,40.7,0
19.2,36.34,8.62,1.1,0.152,3,86.83,1
7.87,8.63,6.97,1.18,0.108,1,138.76,1
42.72,20.45,5.35,1.99,0.191,0,99.8,1
8.41,7.86,8.23,1.11,0.051,0,67.54,0
47.0,20.21,8.72,1.0,0.209,1,58.7,1
27.51,20.9,3.95,0.91,0.157,0,31.71,0
56.15,18.77,15.55,1.98,0.257,2,199.93,1
9.56,19.39,6.68,0.9,0.179,1,40.56,0
47.46,26.0,4.11,1.35,0.232,2,138.02,1
10.48,6.04,3.13,0.71,0.069,1,63.4,0
19.64,16.61,8.65,2.62,0.336,3,152.0,1
15.11,16.6,2.38,1.98,0.16,2,125.34,1
36.4,20.2,9.01,2.17,0.192,1,132.12,1
16.21,14.12,3.34,1.14,0.086,1,26.29,0
26.57,14.41,6.86,2.68,0.24,0,80.1,1
11.7,11.37,3.22,1.22,0.105,0,45.98,0
37.2,33.37,12.26,2.95,0.185,2,205.26,1
8.99,5.16,7.35,0.79,0.178,0,27.41,0
24.39,21.57,15.56,2.55,0.337,2,124.14,1
22.07,8.45,8.28,0.91,0.118,1,28.73,0
51.33,24.9,8.34,1.66,0.164,1,66.26,1
12.23,13.43,7.74,1.44,0.142,1,102.59,1
37.96,39.1,13.43,1.51,0.331,1,82.5,1
12.43,7.43,3.87,1.03,0.172,0,21.1,0
37.38,13.38,12.79,2.22,0.265,1,89.97,1
9.88,17.39,2.66,1.14,0.105,1,52.82,0
55.81,32.25,6.38,2.88,0.166,4,135.12,1
9.18,9.15,5.77,0.77,0.06,0,46.45,0
29.99,30.33,16.98,1.76,0.226,3,129.23,1
23.2,6.5,2.38,0.87,0.074,0,23.61,0
38.71,36.21,13.93,2.8,0.305,3,139.4,1
25.58,10.92,6.3,1.77,0.122,1,142.07,1
23.75,29.68,4.91,1.87,0.148,1,132.85,1
27.86,17.89,4.49,1.22,0.069,1,18.46,1
35.36,35.52,9.59,2.7,0.365,1,91.53,1
13.23,5.81,4.76,1.02,0.11,1,20.16,0
55.35,23.36,17.28,2.14,0.272,3,164.29,1
19.58,9.79,4.99,0.95,0.157,0,58.3,0
35.45,27.47,12.11,2.65,0.287,1,48.41,1
8.54,16.88,8.45,0.85,0.06,0,67.33,0
48.03,25.4,10.94,2.23,0.365,1,128.12,1
21.87,18.06,3.81,1.77,0.107,1,123.33,1
57.6,24.28,7.97,2.48,0.14,3,83.08,1
24.39,5.79,4.65,1.24,0.11,0,70.24,0
19.47,37.15,13.77,1.65,0.234,2,61.93,1
24.12,17.39,7.59,0.99,0.097,1,70.12,1
29.02,15.33,6.29,2.73,0.389,1,239.0,1
8.5,15.67,3.76,0.86,0.076,1,32.32,0
38.67,23.88,11.49,1.56,0.127,2,77.48,1
10.07,5.5,8.25,0.77,0.165,0,18.28,0
52.74,24.42,12.34,2.72,0.157,2,162.26,1
11.52,9.44,4.46,2.07,0.166,1,144.78,1
47.98,26.19,17.16,1.48,0.207,2,85.73,1
22.62,10.02,8.13,1.23,0.114,1,64.5,1
27.92,13.78,16.33,1.03,0.36,1,109.31,1
11.58,7.71,7.2,1.08,0.082,1,49.67,0
56.81,24.76,7.94,2.42,0.35,4,218.48,1
6.28,8.06,7.44,0.95,0.112,0,43.35,0
54.84,33.61,11.14,1.0,0.304,0,63.19,1
22.62,12.98,4.8,1.14,0.093,0,27.01,0
42.12,24.75,10.93,1.93,0.219,1,57.31,1
9.85,7.97,7.36,1.74,0.086,1,94.89,1
37.41,37.86,10.07,2.23,0.24,0,112.66,1
26.12,5.86,6.48,0.85,0.144,0,59.68,0
32.64,41.36,10.22,2.17,0.208,3,156.5,1
8.34,21.24,5.14,1.0,0.12,1,30.72,0
37.19,24.27,8.42,1.94,0.392,1,220.41,1
26.06,13.03,7.14,0.74,0.105,0,33.78,0
20.44,32.76,12.95,1.25,0.398,2,140.4,1
20.96,11.2,8.2,1.03,0.167,0,54.71,0
43.2,22.99,10.95,1.75,0.197,0,149.17,1
16.34,5.35,2.72,2.26,0.065,2,103.98,1
35.39,32.51,6.98,1.56,0.137,0,119.31,1
23.13,10.78,7.5,1.22,0.121,0,61.88,0
53.64,41.87,14.64,1.04,0.131,0,91.03,1
16.07,5.28,8.87,0.81,0.091,1,31.48,0
25.69,41.47,5.88,2.01,0.282,4,205.98,1
22.18,6.51,2.51,0.93,0.163,0,26.33,0
36.76,16.03,9.15,2.76,0.396,2,84.4,1
12.79,9.29,4.82,0.85,0.107,0,39.41,0
45.19,26.92,11.19,2.21,0.134,1,179.6,1
